X1,X2
-9.18782731816838,-9.427638145080193
-9.305878206825037,-8.549204639703602
-8.264085876131729,-7.748752830549066
-7.536484311078086,-6.5495720253677945
-5.567296185337661,-6.341863929587166
-6.150769348440141,-5.0614451127593245
-3.12759411789176,-4.467884717129534
-3.3806034504475515,-3.133944039813008
-1.8404804519714508,-1.734822266630907
-1.124685187738705,-1.3458303758626546
0.731053968522487,-0.19837676342798868
-0.030070354748827022,0.6564136499402002
1.8387913979932462,1.5773971792506403
2.8079728226657923,2.6643769345815906
4.566884721167718,3.9936677005405494
4.450054366342984,4.441344825682361
5.913785896224782,6.117207848908546
6.561070791039314,7.829901088554935
8.021106873357796,8.371022080288668
9.291407606857911,8.904082223819193
9.44969041139354,9.556185517957582
